season,team,total_minutes,returning_minutes,continuity_pct
2016,Robert Morris,6425,3098,0.48217898832684825
2016,Rutgers,6475,4066,0.6279536679536679
2016,SE Louisiana,6625,3945,0.5954716981132075
2016,SIU Edwardsville,5650,2827,0.5003539823008849
2016,SMU,6000,4469,0.7448333333333333
2016,Sacramento State,6225,5585,0.8971887550200803
2016,Sacred Heart,6049,4363,0.721276244007274
2016,Saint Joseph's,7225,5903,0.8170242214532872
2016,Saint Louis,6450,5647,0.8755038759689923
2016,Saint Mary's,7000,4630,0.6614285714285715
2016,Saint Peter's,5850,4189,0.716068376068376
2016,Sam Houston,6850,4140,0.6043795620437956
2016,Samford,6725,4288,0.6376208178438662
2016,San Diego State,7450,6234,0.8367785234899329
2016,San Diego,6000,4165,0.6941666666666667
2016,San Francisco,6100,3555,0.5827868852459016
2016,San José State,6225,2951,0.47405622489959837
2016,Santa Clara,6325,3966,0.6270355731225297
2016,Seattle U,6425,4663,0.7257587548638132
2016,Seton Hall,6825,5575,0.8168498168498168
2016,Siena,6925,4868,0.7029602888086642
2016,South Alabama,6725,5193,0.7721933085501859
2016,South Carolina,6850,5373,0.7843795620437957
2016,South Carolina State,6600,5392,0.816969696969697
2016,South Carolina Upstate,6453,4053,0.6280799628079963
2016,South Dakota,6525,5094,0.7806896551724138
2016,South Dakota State,6800,6315,0.9286764705882353
2016,South Florida,6600,4359,0.6604545454545454
2016,Southeast Missouri State,5825,3247,0.5574248927038626
2016,Southern Illinois,6450,4678,0.7252713178294574
2016,Southern,7000,6264,0.8948571428571429
2016,Southern Miss,5900,2091,0.35440677966101697
2016,Southern Utah,5850,5221,0.8924786324786325
2016,St. Bonaventure,6250,5323,0.85168
2016,St. Francis (PA),6050,4623,0.7641322314049587
2016,St. John's,6400,1908,0.298125
2016,Stanford,6050,5088,0.8409917355371901
2016,Stephen F. Austin,6800,5375,0.7904411764705882
2016,Stetson,6950,5100,0.7338129496402878
2016,Stony Brook,6625,6614,0.9983396226415094
2016,Syracuse,7475,4731,0.6329096989966555
2016,TCU,6600,4270,0.646969696969697
2016,Temple,6725,5934,0.8823791821561339
2016,Tennessee State,6300,4396,0.6977777777777778
2016,Tennessee Tech,6229,5040,0.8091186386257826
2016,Tennessee,6800,5085,0.7477941176470588
2016,Texas A&M,7500,4164,0.5552
2016,Texas A&M-Corpus Christi,6600,6564,0.9945454545454545
2016,Texas,6650,4943,0.7433082706766917
2016,Texas Southern,6400,4164,0.650625
2016,Texas State,6250,4488,0.71808
2016,Texas Tech,6475,5467,0.8443243243243244
2016,The Citadel,6425,2824,0.4395330739299611
2016,Toledo,6400,4330,0.6765625
2016,Towson,6450,6266,0.9714728682170543
2016,Troy,6250,3678,0.58848
2016,Tulane,6950,4306,0.619568345323741
2016,Tulsa,6450,5279,0.8184496124031008
2016,UAB,6700,6028,0.8997014925373135
2016,UAlbany,6675,5629,0.8432958801498127
2016,UC Davis,6125,3959,0.6463673469387755
2016,UC Irvine,7675,7323,0.9541368078175896
2016,UC Riverside,6400,3239,0.50609375
2016,UC San Diego,200,159,0.795
2016,UC Santa Barbara,6625,5855,0.8837735849056604
2016,UCF,6050,4594,0.7593388429752066
2016,UCLA,6475,4941,0.7630888030888031
2016,UConn,7300,4154,0.569041095890411
2016,UIC,6100,2990,0.4901639344262295
2016,UL Monroe,6950,5828,0.8385611510791366
2016,UMBC,6450,3563,0.5524031007751938
2016,UMass Lowell,5850,3578,0.6116239316239316
2016,UNC Asheville,6650,4533,0.6816541353383458
2016,UNC Greensboro,6850,5347,0.7805839416058394
2016,UNC Wilmington,6675,5319,0.7968539325842696
2016,UNLV,6750,3936,0.5831111111111111
2016,USC,6900,6900,1.0
2016,UT Arlington,7075,5225,0.7385159010600707
2016,UT Martin,7100,4799,0.6759154929577464
2016,UT Rio Grande Valley,6000,2754,0.459
2016,UTEP,6675,4108,0.6154307116104869
2016,UTSA,6517,4313,0.6618075801749271
2016,Utah State,6200,4981,0.8033870967741935
2016,Utah,7300,6194,0.8484931506849315
2016,Utah Valley,6050,3475,0.5743801652892562
2016,VCU,7250,5777,0.7968275862068965
2016,VMI,6025,4932,0.8185892116182573
2016,Valparaiso,7450,7450,1.0
2016,Vanderbilt,6450,5849,0.9068217054263565
2016,Vermont,7400,6687,0.9036486486486487
2016,Villanova,8025,6992,0.8712772585669782
2016,Virginia,7425,7292,0.9820875420875421
2016,Virginia Tech,7125,5006,0.7025964912280702
2016,Wagner,6826,5151,0.7546147084676238
2016,Wake Forest,6250,4637,0.74192
2016,Washington,6925,1457,0.2103971119133574
2016,Washington State,6300,4151,0.6588888888888889
2016,Weber State,7100,5035,0.7091549295774648
2016,West Virginia,7050,6181,0.8767375886524823
2016,Western Carolina,6725,5337,0.7936059479553903
2016,Western Illinois,5400,4658,0.8625925925925926
2016,Western Kentucky,6925,3035,0.43826714801444044
2016,Western Michigan,6550,5106,0.7795419847328244
2016,Wichita State,7050,5063,0.7181560283687943
2016,William & Mary,6250,6084,0.97344
2016,Winthrop,6200,4086,0.6590322580645162
2016,Wisconsin,7050,5992,0.8499290780141844
2016,Wofford,6475,5190,0.8015444015444015
2016,Wright State,7025,5318,0.7570106761565837
2016,Wyoming,6475,5222,0.8064864864864865
2016,Xavier,6800,6480,0.9529411764705882
2016,Yale,6025,5614,0.9317842323651452
2016,Youngstown State,6525,3704,0.5676628352490422
2016,Hartford,6725,4493,0.6681040892193308
2016,St. Francis Brooklyn,6450,5777,0.8956589147286822
2016,Centenary (LA),400,283,0.7075
2016,Savannah State,6424,1779,0.2769302615193026
2016,Piedmont,400,357,0.8925
2016,Cheyney (PA),200,115,0.575
2016,Hannibal-LaGrange,600,294,0.49
2016,Mid-Atlantic Christian,400,240,0.6
2016,Columbia International,200,179,0.895
2016,NC Wesleyan,400,304,0.76
2016,Trinity Baptist,800,175,0.21875
2016,Vermont State - Lyndon,200,110,0.55
2016,York College Nebraska,400,0,0.0
2016,LSU Alexandria,400,301,0.7525
2016,Mississippi College,200,118,0.59
2016,Bob Jones,600,385,0.6416666666666667
2016,Dallas Christian,200,104,0.52
